Geographic code;Geographic name;Geographic Type;Geographic Name, province or territory;Geographic Code, province or territory;Geographic code, census division;Geographic code, census metropolitan area or census agglomeration;Global non-response rate;Data quality flag;Age;Sex;Total population;Period of immigration - Non-immigrants (2016 counts);Period of immigration - Immigrants (2016 counts);Period of immigration - Before 2001 (2016 counts);Period of immigration - 2001 to 2005 (2016 counts);Period of immigration - 2006 to 2010 (2016 counts);Period of immigration - 2011 to 2016 (2016 counts);Period of immigration - Non-permanent residents (2016 counts);Total population (% distribution 2016);Period of immigration - Non-immigrants (% distribution 2016);Period of immigration - Immigrants (% distribution 2016);Period of immigration - Before 2001 (% distribution 2016);Period of immigration - 2001 to 2005 (% distribution 2016);Period of immigration - 2006 to 2010 (% distribution 2016);Period of immigration - 2011 to 2016 (% distribution 2016);Period of immigration - Non-permanent residents (% distribution 2016)
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;65 to 74;Male;245;235;10;10;0;0;0;0;100;95.9;4.1;4.1;0;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;55 to 64;Male;510;465;50;40;10;0;0;0;100;91.2;9.8;7.8;2;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;65 to 74;Female;310;290;20;20;0;0;0;0;100;93.5;6.5;6.5;0;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;25 to 34;Female;590;520;30;10;0;15;10;40;100;88.1;5.1;1.7;0;2.5;1.7;6.8
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;45 to 54;Female;615;595;20;10;0;0;0;0;100;96.7;3.3;1.6;0;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;35 to 44;Female;635;605;20;0;0;0;10;15;100;95.3;3.1;0;0;0;1.6;2.4
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;55 to 64;Female;495;475;15;10;0;0;0;0;100;96;3;2;0;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;15 to 24;Female;495;485;10;0;0;0;0;0;100;98;2;0;0;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;75 years and over;Male;145;125;20;20;0;0;0;0;100;86.2;13.8;13.8;0;0;0;0
1010025;Happy Valley-Goose Bay;Town;Newfoundland and Labrador;10;10;;6.3;0;75 years and over;Female;135;125;10;10;0;0;0;0;100;92.6;7.4;7.4;0;0;0;0
